pl_name,pl_orbper,pl_orbsmax,st_mass,discoverymethod,disc_year
"TOI-7166 b",12.92063621000,0.0619100000,0.190000,"Transit",2025
"TOI-2458 c",16.55300000000,0.1290000000,1.050000,"Radial Velocity",2024
"HD 86728 b",31.15150000000,0.1916000000,0.967000,"Radial Velocity",2025
"Kepler-338 b",13.72697600000,0.1170000000,,"Transit",2014
"TOI-4504 d",40.56340000000,0.2219000000,0.890000,"Transit Timing Variations",2024
"HD 73344 c",65.94000000000,0.3388000000,1.190000,"Radial Velocity",2025
"HD 73344 d",5823.00000000000,6.7000000000,1.190000,"Radial Velocity",2025
"Kepler-111 b",3.34181500000,0.0460000000,,"Transit",2014
"Kepler-970 b",16.73652500000,0.1390000000,0.670000,"Transit",2016
"WASP-132 d",1816.60000000000,2.7100000000,0.789000,"Radial Velocity",2024
"K2-360 c",9.79692000000,0.0883000000,0.958000,"Radial Velocity",2024
"HD 20794 f",647.60000000000,1.3541000000,0.790000,"Radial Velocity",2025
"K2-99 c",522.20000000000,1.4300000000,1.440000,"Radial Velocity",2022
"Gl 725 A b",11.22010000000,0.0680000000,0.330000,"Radial Velocity",2025
"KOBE-1 b",8.53990000000,0.0700600000,0.629000,"Radial Velocity",2025
"KOBE-1 c",29.67100000000,0.1607100000,0.629000,"Radial Velocity",2025
"TOI-2295 c",966.50000000000,2.0180000000,1.168000,"Radial Velocity",2024
"TOI-2537 c",1920.00000000000,2.7800000000,0.771000,"Radial Velocity",2024
"GJ 2126 b",272.70000000000,0.7100000000,0.650000,"Radial Velocity",2025
"TOI-2015 c",5.58279600000,0.0412320000,0.304100,"Transit Timing Variations",2025
"TOI-2443 b",15.66858000000,0.1050000000,0.642000,"Transit",2023
"Kepler-333 b",12.55115800000,0.0870000000,,"Transit",2014
"Kepler-336 d",20.67877200000,0.1540000000,,"Transit",2014
"Barnard c",4.12440000000,0.0274000000,0.162000,"Radial Velocity",2025
"Barnard d",2.34020000000,0.0188000000,0.162000,"Radial Velocity",2025
"Barnard e",6.73920000000,0.0381000000,0.162000,"Radial Velocity",2025
"GJ 3998 d",41.78000000000,0.1890000000,0.520000,"Radial Velocity",2025
"GJ 1289 b",111.74000000000,0.2700000000,0.210000,"Radial Velocity",2024
"TOI-1266 d",32.50900000000,0.1513000000,0.437000,"Transit Timing Variations",2025
"BD+05 4868 A b",1.27186900000,0.0208000000,0.700000,"Transit",2025
"G 268-110 b",1.43263000000,0.0128300000,0.137000,"Radial Velocity",2025
"G 192-15 b",2.27476000000,0.0172300000,0.132000,"Radial Velocity",2025
"G 192-15 c",1219.00000000000,1.1370000000,0.132000,"Radial Velocity",2025
"G 261-6 b",5.45360000000,0.0297100000,0.118000,"Radial Velocity",2025
"Gl 410 b",6.02000000000,0.0531000000,0.550000,"Radial Velocity",2025
"TOI-7384 b",6.23402580000,0.0439000000,0.318000,"Transit",2026
"TOI-771 c",7.61000000000,0.0460000000,0.220000,"Radial Velocity",2025
"OGLE-2016-BLG-0007L b",14200.00000000000,10.1000000000,0.590000,"Microlensing",2025
"AT2021ueyL b",4168.69000000000,4.0100000000,0.490000,"Microlensing",2025
"Kepler-102 d",10.31176700000,0.0861800000,0.803000,"Transit",2014
"K2-157 c",25.94200000000,0.1650000000,0.890000,"Radial Velocity",2025
"K2-157 d",66.50000000000,0.3090000000,0.890000,"Radial Velocity",2025
"HD 35843 b",9.89910000000,0.0880000000,0.940000,"Radial Velocity",2025
"TOI-2076 e",3.02237530000,0.0386300000,0.849000,"Transit",2025
"HD 87816 b",484.17000000000,1.6180000000,2.410000,"Radial Velocity",2025
"HD 87816 c",7596.00000000000,10.1400000000,2.410000,"Radial Velocity",2025
"HD 94890 b",824.61000000000,2.0700000000,1.740000,"Radial Velocity",2025
"HD 94890 c",2492.19000000000,4.3300000000,1.740000,"Radial Velocity",2025
"HD 102888 b",252.06000000000,1.0500000000,2.420000,"Radial Velocity",2025
"TOI-6695 c",242.40000000000,0.8380000000,1.338000,"Radial Velocity",2025
"TIC 434398831 b",3.68550400000,0.0464100000,0.992000,"Transit",2025
"TIC 434398831 c",6.21029100000,0.0657200000,0.992000,"Transit",2025
"TOI-1117 c",4.57900000000,0.0534000000,0.970000,"Radial Velocity",2025
"TOI-1117 d",8.66500000000,0.0817000000,0.970000,"Radial Velocity",2025
"Kepler-725 c",207.54100000000,0.6744000000,0.950000,"Transit Timing Variations",2025
"TIC 88785435 b",10.50884300000,0.0843200000,0.724000,"Transit",2025
"KOI-134 c",33.95000000000,0.2305000000,1.407000,"Transit Timing Variations",2025
"L 98-59 f",23.06400000000,0.1052000000,0.292300,"Radial Velocity",2025
"TOI-201 c",2890.00000000000,4.3700000000,1.320000,"Transit Timing Variations",2025
"BEBOP-3 b",547.00000000000,1.4440000000,1.083000,"Radial Velocity",2025
"GJ 9773 b",2965.00000000000,2.9210000000,0.358000,"Radial Velocity",2025
"GJ 508.2 b",5300.00000000000,4.8500000000,0.540000,"Radial Velocity",2025
"HD 224018 b",10.64130000000,0.0952000000,1.013000,"Radial Velocity",2025
"HD 224018 c",36.57669000000,0.2170000000,1.013000,"Transit",2025
"HD 224018 d",138.07310000000,0.5300000000,1.013000,"Transit",2025
"HD 28471 b",3.16490000000,0.0420000000,0.980000,"Radial Velocity",2025
"HD 28471 c",6.12450000000,0.0650000000,0.980000,"Radial Velocity",2025
"HD 28471 d",11.68100000000,0.1000000000,0.980000,"Radial Velocity",2025
"GJ 536 c",32.76100000000,0.1617000000,0.528000,"Radial Velocity",2025
"TOI-2141 c",5.46240000000,0.0585000000,0.896000,"Radial Velocity",2025
"TOI-2141 d",60.45000000000,0.2906000000,0.896000,"Radial Velocity",2025
"Kepler-343 b",8.96855000000,0.0880000000,,"Transit",2014
"TOI-5799 c",14.01044900000,0.0782000000,0.325000,"Transit",2025
"TOI-1203 b",4.15728880000,0.0486900000,0.886000,"Radial Velocity",2025
"NGTS-32 b",3.31211000000,0.0440000000,1.070000,"Transit",2025
"HD 143811 AB b",117000.00000000000,63.0000000000,1.320000,"Imaging",2025
"Kepler-107 c",4.90145200000,0.0606400000,1.238000,"Transit",2014
"TOI-2093 b",12.83600000000,0.0970000000,0.745000,"Radial Velocity",2025
"HIP 18606 b",674.94000000000,1.6100000000,1.210000,"Radial Velocity",2025
"HIP 111909 b",487.08000000000,1.3200000000,1.280000,"Radial Velocity",2025
"HIP 111909 c",893.63000000000,1.9700000000,1.280000,"Radial Velocity",2025
"BD+37 3172 b",1887.76000000000,4.6500000000,3.750000,"Radial Velocity",2023
"BD+42 2315 b",123.05000000000,0.5400000000,1.380000,"Radial Velocity",2023
"55 Cnc B b",6.79940000000,0.0440000000,0.260000,"Radial Velocity",2025
"55 Cnc B c",33.74700000000,0.1300000000,0.260000,"Radial Velocity",2025
"GJ 251 c",53.64700000000,0.1960000000,0.350000,"Radial Velocity",2025
"TOI-7510 b",11.53086900000,0.1019000000,1.063000,"Transit",2025
"TOI-7510 c",22.56874230000,0.1595000000,1.063000,"Transit",2025
"TOI-7510 d",48.86446800000,0.2672000000,1.063000,"Transit",2025
"TOI-756 c",149.40000000000,0.4390000000,0.505000,"Radial Velocity",2025
"Kepler-351 c",57.24809000000,0.2870000000,,"Transit",2014
"BEBOP-4 AB b",1823.50000000000,3.6340000000,1.507000,"Radial Velocity",2025
"TOI-1422 c",34.56330000000,0.2050000000,,"Radial Velocity",2025
"Kepler-49 d",2.57654900000,0.0310000000,,"Transit",2014
"TOI-1472 c",15.53817470000,0.1160000000,0.870000,"Radial Velocity",2025
"HIP 54515 b",33000.00000000000,24.8000000000,1.900000,"Imaging",2026
"TOI-6041 c",88.00000000000,0.3721000000,0.885000,"Radial Velocity",2025
"HD 128717 b",3420.00000000000,4.8500000000,1.212000,"Astrometry",2025
